FID,Slope,Elevat,ShrubCov,x_utm,y_utm
2009,3.2881701,721,0.0400544,257019.200000000011642,3893342.200000000186265
2010,6.6549501,725,0.0103511,257059.200000000011642,3893342.200000000186265
2011,9.7540102,731,0.0247527,257099.200000000011642,3893342.200000000186265
2012,9.0707502,737,0.0330786,257139.200000000011642,3893342.200000000186265
2013,5.7657199,739,0.0823591,257179.200000000011642,3893342.200000000186265
2014,5.3082800,739,0.2610290,257219.200000000011642,3893342.200000000186265
2015,8.9848804,745,0.3238110,257259.200000000011642,3893342.200000000186265
2016,8.5051899,753,0.2353760,257299.200000000011642,3893342.200000000186265
2017,2.6897199,757,0.1089120,257339.200000000011642,3893342.200000000186265
2018,1.6010500,757,0.1602180,257379.200000000011642,3893342.200000000186265
2019,2.6625199,759,0.2275000,257419.200000000011642,3893342.200000000186265
2020,5.2064400,708,0.1422160,256379.200000000011642,3893302.200000000186265
2021,5.3499098,709,0.1842950,256419.200000000011642,3893302.200000000186265
2022,3.5763299,711,0.1354650,256459.200000000011642,3893302.200000000186265
2023,1.7899100,712,0.0632320,256499.200000000011642,3893302.200000000186265
2024,2.3332300,711,0.0571563,256539.200000000011642,3893302.200000000186265
2025,2.7251401,710,0.1068870,256579.200000000011642,3893302.200000000186265
2026,2.5304899,709,0.1977970,256619.200000000011642,3893302.200000000186265
2027,2.9611499,710,0.2392010,256659.200000000011642,3893302.200000000186265
2028,3.7926600,713,0.1269140,256699.200000000011642,3893302.200000000186265
2029,2.4923000,716,0.0859595,256739.200000000011642,3893302.200000000186265
2030,1.0439100,717,0.0715579,256779.200000000011642,3893302.200000000186265
2031,0.9128990,717,0.0924852,256819.200000000011642,3893302.200000000186265
2032,1.7899100,717,0.0652572,256859.200000000011642,3893302.200000000186265
2033,2.5805399,718,0.0675074,256899.200000000011642,3893302.200000000186265
2034,1.8253300,720,0.0326286,256939.200000000011642,3893302.200000000186265
2035,0.8006810,721,0.0274530,256979.200000000011642,3893302.200000000186265
2036,2.3332300,721,0.0459051,257019.200000000011642,3893302.200000000186265
2037,4.9815698,724,0.0252028,257059.200000000011642,3893302.200000000186265
2038,7.4352999,726,0.0740331,257099.200000000011642,3893302.200000000186265
2039,7.6838899,733,0.3899680,257139.200000000011642,3893302.200000000186265
2040,4.3039598,737,0.4790780,257179.200000000011642,3893302.200000000186265
2041,4.8785501,739,0.2275000,257219.200000000011642,3893302.200000000186265
2042,8.0997295,743,0.1579670,257259.200000000011642,3893302.200000000186265
2043,8.5380602,750,0.1383900,257299.200000000011642,3893302.200000000186265
2044,3.9062500,757,0.0801088,257339.200000000011642,3893302.200000000186265
2045,5.3082800,705,0.0895599,256419.200000000011642,3893262.200000000186265
2046,4.3260899,710,0.0524308,256459.200000000011642,3893262.200000000186265
2047,2.5050900,711,0.0652572,256499.200000000011642,3893262.200000000186265
2048,2.1624300,710,0.1005860,256539.200000000011642,3893262.200000000186265
2049,0.7595970,709,0.1615680,256579.200000000011642,3893262.200000000186265
2050,1.5398700,708,0.2072480,256619.200000000011642,3893262.200000000186265
2051,3.1695199,711,0.1287140,256659.200000000011642,3893262.200000000186265
2052,2.7368400,714,0.0956355,256699.200000000011642,3893262.200000000186265
2053,2.5431001,715,0.0364540,256739.200000000011642,3893262.200000000186265
2054,2.6052001,716,0.0441049,256779.200000000011642,3893262.200000000186265
2055,2.1771801,716,0.0612067,256819.200000000011642,3893262.200000000186265
2056,1.7899100,716,0.0684075,256859.200000000011642,3893262.200000000186265
2057,2.8287201,717,0.0747082,256899.200000000011642,3893262.200000000186265
2058,2.7368400,720,0.0227275,256939.200000000011642,3893262.200000000186265
2059,0.9128990,721,0.0049505,256979.200000000011642,3893262.200000000186265
2060,1.7899100,721,0.0531058,257019.200000000011642,3893262.200000000186265
2061,5.4612598,723,0.2371760,257059.200000000011642,3893262.200000000186265
2062,7.7689300,728,0.3190850,257099.200000000011642,3893262.200000000186265
2063,8.5489902,733,0.2630540,257139.200000000011642,3893262.200000000186265
2064,7.5730801,740,0.1784450,257179.200000000011642,3893262.200000000186265
2065,6.8045998,743,0.2752050,257219.200000000011642,3893262.200000000186265
2066,6.7255301,747,0.2295250,257259.200000000011642,3893262.200000000186265
2067,5.5361199,752,0.0153017,257299.200000000011642,3893262.200000000186265
2068,4.2427402,708,0.0704328,256459.200000000011642,3893222.200000000186265
2069,3.7926600,708,0.1030610,256499.200000000011642,3893222.200000000186265
